picture_url,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,room_type_Entire home/apt,room_type_Other,room_type_Private room,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,distance_to_center,beds_per_bedroom,amenity_count,image_downloaded,mos
https://a0.muscache.com/pictures/miso/Hosting-1024974485982352326/original/fe1faff0-0728-4e06-bcec-d71ade0503cf.jpeg,2,1.0,1.0,1.0,68.0,1,60,3,62,False,False,True,False,False,False,True,False,23.956475549587758,1.0,31,True,6.457299832254648
https://a0.muscache.com/pictures/miso/Hosting-710392205114088964/original/16db78ac-bd5f-46bf-bba6-0e97a1f99e32.jpeg,4,1.0,1.0,2.0,179.0,30,365,30,270,True,False,False,False,True,False,False,False,7.893239245621478,2.0,27,True,7.530256854370236
https://a0.muscache.com/pictures/72e4a788-2f85-43c0-8fdf-0c609968643b.jpg,2,2.0,1.0,1.0,130.0,30,180,0,0,True,False,False,False,False,True,False,False,2.1643327055714034,1.0,8,True,7.310743452981114
https://a0.muscache.com/pictures/2c469e75-213b-4192-adc7-68092aa9486d.jpg,2,1.0,1.0,1.0,56.0,30,90,0,0,False,False,True,False,False,True,False,False,13.646495611655677,1.0,25,True,7.196807235013694
https://a0.muscache.com/pictures/11ea0c46-52c7-4343-9296-2e61ba857f24.jpg,4,1.0,1.0,3.0,90.0,30,44,0,0,False,False,True,False,True,False,False,False,3.6530466273921878,3.0,10,True,5.667574863880873
https://a0.muscache.com/pictures/miso/Hosting-655254022177519064/original/3d8b530c-db20-4607-8fa6-3b910b440cf0.jpeg,4,1.0,2.0,2.0,155.0,30,30,30,180,False,False,True,False,False,False,True,False,18.695000411688003,1.0,17,True,7.920717312023044
https://a0.muscache.com/pictures/7317f4f0-4bf5-44cf-bc9d-af954451722c.jpg,2,1.0,1.0,1.0,70.0,31,150,0,0,False,False,True,False,True,False,False,False,5.486988802147198,1.0,15,True,5.686734177172184
https://a0.muscache.com/pictures/prohost-api/Hosting-824313129458639258/original/86529adc-111c-4ba6-90d1-598eb164599d.jpeg,2,3.0,1.0,1.0,48.0,30,365,12,347,False,False,True,False,False,False,True,False,11.84784597309916,1.0,8,True,6.0099201165139675
https://a0.muscache.com/pictures/0f2197eb-1762-400b-91aa-3549109c6866.jpg,1,1.0,1.0,1.0,36.0,30,31,30,180,False,True,False,False,True,False,False,False,8.559241951145479,1.0,28,True,6.826027209870517
https://a0.muscache.com/pictures/miso/Hosting-768688494578057457/original/985cbefe-d23d-4d9d-b24e-abe4ba6eb107.jpeg,2,1.0,1.0,1.0,85.0,1000,1125,30,365,False,False,True,False,False,False,True,False,15.41303540612007,1.0,17,True,6.5877055421005934
https://a0.muscache.com/pictures/104304900/10ba4d59_original.jpg,1,1.0,1.0,1.0,75.0,30,30,30,365,False,False,True,False,False,False,True,False,8.770310931690856,1.0,5,True,6.964582769200206
https://a0.muscache.com/pictures/miso/Hosting-52822073/original/e3f7a450-bef6-4477-b123-4b9e78a16e1f.jpeg,4,1.0,2.0,2.0,175.0,30,45,13,31,True,False,False,False,True,False,False,False,7.3365071839686085,1.0,50,True,5.822707641869783
https://a0.muscache.com/pictures/d946d24f-a94b-4c59-bcb8-b2c9bca92402.jpg,5,1.0,2.0,4.0,146.0,30,30,12,94,False,False,True,False,False,False,True,False,10.473375233707719,2.0,50,True,6.73606488853693
https://a0.muscache.com/pictures/799308ac-f3c5-4aac-b937-47a412666a20.jpg,5,1.0,2.0,2.0,235.0,30,1125,0,324,True,False,False,False,False,True,False,False,9.708000168504666,1.0,17,True,7.742543922737241
https://a0.muscache.com/pictures/72f32066-4f24-436f-9026-cf53cc81fdda.jpg,2,1.0,1.0,1.0,86.0,30,1125,0,0,False,False,True,False,True,False,False,False,5.04163330922667,1.0,20,True,6.1984098348766565
https://a0.muscache.com/pictures/104615585/6a025536_original.jpg,2,1.0,1.0,1.0,85.0,30,1125,0,0,False,False,True,False,False,True,False,False,15.41814209331736,1.0,28,True,6.688777878880501
https://a0.muscache.com/pictures/429ecdd9-5810-4c9f-8f05-367a1f75c2b0.jpg,4,1.0,1.0,2.0,120.0,30,180,0,0,True,False,False,False,True,False,False,False,8.964141811667606,2.0,17,True,6.024934835731983
https://a0.muscache.com/pictures/bda36a7d-18d1-4833-836b-6c8287f2cf47.jpg,7,1.0,1.0,4.0,200.0,30,360,0,161,True,False,False,False,False,True,False,False,12.565788395051262,4.0,21,True,6.156506860628724
https://a0.muscache.com/pictures/13e5bd96-b5b8-4bd0-938e-5c493228903d.jpg,1,1.0,1.0,1.0,36.0,30,60,3,28,False,False,True,False,False,True,False,False,10.934335292501881,1.0,31,True,5.229274194687605
https://a0.muscache.com/pictures/27ed6d06-e232-4a32-8b03-455bbd9a7432.jpg,2,1.0,1.0,1.0,84.0,30,100,11,58,False,False,True,False,False,True,False,False,11.255648447773794,1.0,31,True,6.505970759317279
https://a0.muscache.com/pictures/prohost-api/Hosting-795590367691290776/original/c00df181-697c-41ef-866f-06f3cdd759a7.jpeg,1,0.0,4.0,1.0,69.0,30,180,24,266,False,False,True,False,False,True,False,False,11.830473433851017,0.25,14,True,6.0139153227210045
https://a0.muscache.com/pictures/2b952a0d-bb17-4d80-9d7f-15ffe5bc5c62.jpg,4,1.0,1.0,2.0,70.0,30,1125,0,0,False,False,True,False,True,False,False,False,5.842838351978407,2.0,9,True,6.532417852431536
https://a0.muscache.com/pictures/98716687/2a07088e_original.jpg,2,1.0,1.0,1.0,99.0,30,1125,0,0,True,False,False,False,True,False,False,False,5.823855014416154,1.0,7,True,6.472372904419899
https://a0.muscache.com/pictures/70125957-fa70-4c48-9643-7b460ffcacdf.jpg,4,2.0,2.0,3.0,235.0,30,60,2,247,True,False,False,False,True,False,False,False,6.768041714041241,1.5,54,True,6.786593494936824
https://a0.muscache.com/pictures/miso/Hosting-604979090670594317/original/a94d2392-2ec8-439f-a0a2-890bb2deb04b.jpeg,4,1.0,2.0,2.0,107.0,30,180,0,0,True,False,False,False,False,True,False,False,11.355049652013633,1.0,23,True,5.825699616223574
https://a0.muscache.com/pictures/miso/Hosting-661489424483343369/original/b9887ad8-92aa-425c-8d1a-9f65f700202b.jpeg,5,1.0,2.0,2.0,51.0,30,365,0,261,True,False,False,False,True,False,False,False,6.095827969783432,1.0,42,True,5.866423999890685
https://a0.muscache.com/pictures/d5944e4d-df2e-4a4d-9941-d50f95637e62.jpg,2,1.0,1.0,2.0,92.0,30,1125,0,0,False,False,True,False,False,True,False,False,9.243204587484868,2.0,11,True,5.999828014522791
https://a0.muscache.com/pictures/miso/Hosting-53489130/original/cec33079-cc02-44a5-a70c-52cde63be011.jpeg,3,1.0,1.0,2.0,135.0,30,140,30,180,True,False,False,False,False,False,True,False,10.847065748536155,2.0,50,True,6.515038166195154
https://a0.muscache.com/pictures/56b4a1a1-ab38-4351-aa8b-35e142f6ad44.jpg,1,1.0,1.0,1.0,31.0,30,90,0,0,False,False,True,True,False,False,False,False,13.999146013312947,1.0,25,True,5.936851628124714
https://a0.muscache.com/pictures/f33c473e-0148-41f0-8ac6-152f1fe6c346.jpg,2,2.0,1.0,1.0,119.0,30,365,0,0,False,False,True,False,False,True,False,False,4.057769672885734,1.0,19,True,6.302946493029594
https://a0.muscache.com/pictures/352c4d88-dc1d-42c8-977b-5e47fd7436c3.jpg,1,1.0,1.0,1.0,63.0,30,30,0,0,False,False,True,False,False,True,False,False,14.739083409408478,1.0,12,True,6.66241187043488
https://a0.muscache.com/pictures/a6bf5247-eabb-4ba7-afe1-9ef7a80968bc.jpg,1,2.0,1.0,1.0,39.0,90,365,0,124,False,False,True,False,False,False,True,False,8.648834572493712,1.0,12,True,7.179679981432855
https://a0.muscache.com/pictures/miso/Hosting-53413454/original/8bb91b45-b27b-4981-860a-abb4efeae275.jpeg,4,1.0,1.0,1.0,208.0,30,90,12,162,True,False,False,False,False,False,True,False,15.203509583963378,1.0,50,True,5.905876392498612
https://a0.muscache.com/pictures/pro_photo_tool/Hosting-5663222-unapproved/original/a6ed4471-fa03-4ee0-997b-8b57589892a5.JPEG,2,1.0,1.0,1.0,100.0,30,1125,0,0,False,False,True,False,False,True,False,False,11.380449928607481,1.0,42,True,6.442660767585039
